                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7563,                 4.2686,                 1.3259,                 0.0171,                0.31199,                0.20161,                0.13513,                  1.599,                 4.0573,                 1.1227,             0.00019992,             0.00019992,             0.00019992
                      2,                 1.5768,                 2.6806,                 1.1697,                0.96808,                0.12681,                0.46874,                 0.2957,                 1.4686,                 3.0065,                 1.1521,             0.00039355,             0.00039355,             0.00039355
                      3,                 1.4965,                 1.9345,                 1.1237,                0.84709,                0.33126,                0.54221,                0.34008,                 1.3787,                 2.4328,                 1.1222,             0.00057351,             0.00057351,             0.00057351
                      4,                  1.405,                   1.54,                  1.099,                0.66701,                 0.6413,                0.69819,                0.43667,                 1.4024,                 1.6621,                 1.1077,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.4135,                 1.4045,                 1.0962,                0.80301,                0.72976,                0.79305,                0.47403,                 1.5066,                 1.2551,                 1.1339,             0.00061975,             0.00061975,             0.00061975
                      6,                 1.3609,                 1.3141,                 1.0815,                0.76182,                0.78069,                0.80782,                0.50923,                 1.3174,                 1.1177,                 1.0768,             0.00059619,             0.00059619,             0.00059619
                      7,                 1.3391,                 1.2225,                 1.0849,                0.74633,                0.79718,                0.82965,                 0.5261,                 1.2914,                 1.0142,                 1.0646,             0.00057263,             0.00057263,             0.00057263
                      8,                 1.3093,                 1.1798,                 1.0631,                0.76905,                 0.7985,                0.85829,                0.53676,                 1.3143,                 1.1062,                 1.0638,             0.00054907,             0.00054907,             0.00054907
                      9,                 1.2817,                 1.1031,                 1.0416,                0.84353,                0.80898,                0.87483,                0.54687,                 1.3285,                0.94585,                 1.0659,              0.0005255,              0.0005255,              0.0005255
                     10,                 1.2305,                 1.0428,                 1.0329,                0.89878,                0.81784,                 0.8871,                0.54226,                 1.3552,                 0.8828,                 1.0765,             0.00050194,             0.00050194,             0.00050194
                     11,                 1.2568,                  1.013,                 1.0393,                0.85667,                0.81077,                0.87013,                0.53968,                  1.351,                0.87155,                  1.078,             0.00047838,             0.00047838,             0.00047838
                     12,                 1.2344,                0.98643,                 1.0255,                0.83622,                0.85586,                0.88997,                0.55786,                 1.3314,                0.89203,                 1.0665,             0.00045482,             0.00045482,             0.00045482
                     13,                 1.2146,                0.95048,                 1.0171,                0.85603,                0.85136,                0.87277,                0.54491,                 1.3683,                0.89653,                 1.0786,             0.00043126,             0.00043126,             0.00043126
                     14,                 1.1634,                0.91805,                 1.0092,                0.85784,                 0.8632,                0.88911,                0.56608,                 1.3053,                0.81522,                 1.0616,             0.00040769,             0.00040769,             0.00040769
                     15,                 1.1932,                0.90335,                 1.0121,                 0.8837,                 0.8979,                0.91569,                0.58422,                  1.296,                 0.8224,                 1.0627,             0.00038413,             0.00038413,             0.00038413
                     16,                 1.1557,                0.88687,                 1.0004,                0.84195,                0.88648,                0.90414,                0.58014,                 1.3011,                0.80573,                 1.0515,             0.00036057,             0.00036057,             0.00036057
                     17,                 1.1453,                0.87347,                0.99949,                0.88599,                0.87809,                0.91179,                0.57638,                 1.3101,                 0.8131,                  1.054,             0.00033701,             0.00033701,             0.00033701
                     18,                 1.1283,                0.85564,                0.99404,                0.88436,                0.87499,                0.89671,                0.57838,                 1.2926,                0.78106,                 1.0568,             0.00031345,             0.00031345,             0.00031345
                     19,                 1.0838,                0.81945,                0.97921,                0.87117,                0.88824,                0.90854,                0.58475,                 1.2765,                0.74951,                 1.0406,             0.00028988,             0.00028988,             0.00028988
                     20,                 1.1067,                0.80362,                0.99098,                 0.8992,                0.87814,                0.90459,                0.59303,                 1.2463,                0.74372,                 1.0425,             0.00026632,             0.00026632,             0.00026632
                     21,                 1.0968,                0.89648,                 1.0031,                0.86028,                  0.866,                0.89598,                0.57067,                 1.2687,                 0.7545,                 1.0482,             0.00024276,             0.00024276,             0.00024276
                     22,                 1.0793,                0.85148,                0.99987,                0.91219,                0.88292,                0.92348,                0.59514,                 1.2671,                0.72369,                 1.0529,              0.0002192,              0.0002192,              0.0002192
                     23,                 1.0682,                0.84501,                0.97856,                0.93428,                0.87307,                0.91769,                0.59986,                  1.248,                 0.7495,                 1.0425,             0.00019564,             0.00019564,             0.00019564
                     24,                 1.0522,                0.81168,                0.97639,                0.90964,                0.89043,                0.91797,                0.58777,                 1.2651,                0.71125,                 1.0522,             0.00017207,             0.00017207,             0.00017207
                     25,                 1.0113,                0.78781,                 0.9682,                 0.9187,                0.88182,                0.91881,                0.60011,                 1.2646,                0.69061,                 1.0462,             0.00014851,             0.00014851,             0.00014851
                     26,                 1.0131,                0.76747,                0.95951,                0.93468,                 0.8718,                 0.9207,                0.60116,                 1.2601,                0.68519,                 1.0418,             0.00012495,             0.00012495,             0.00012495
                     27,                0.99311,                0.75155,                0.95598,                0.94177,                0.88108,                0.92416,                0.60227,                 1.2366,                0.71851,                 1.0324,             0.00010139,             0.00010139,             0.00010139
                     28,                 1.0209,                0.75455,                0.95369,                0.90542,                0.89348,                0.92432,                0.60415,                 1.2585,                0.68233,                 1.0383,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.97771,                0.74844,                0.95885,                0.94248,                 0.8817,                0.92818,                0.60569,                 1.2614,                0.68153,                 1.0412,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     30,                0.98807,                0.74186,                0.94056,                0.92772,                 0.8921,                 0.9284,                0.61127,                 1.2456,                0.67234,                 1.0352,             3.0702e-05,             3.0702e-05,             3.0702e-05
